Entry Name,Date Range,Entry ID,Cell Line/Genotype,Media Change Log,Experiments Performed,Notes
"20250908EB_MN (RNA, virus titer test)",2025-09-08 - 2025-10-03,etr_SgD69L3fya,"WT11, vLH78, vLH103",9/8 T2 start; 9/10 T2->T3; 9/12 T3->T4; 9/15 T4->T5; 9/17 T5->T6; 9/19 T6->T6; 9/22 T6->T7; 9/23 T7->T7 (Plate B); 9/24 T7->T7 (Plate A) / T7->BPT8; 9/25 1/2T8->1/2T8; 9/27 1/2T8->1/2T8; 9/29 1/2T8->1/2T8,"9/29 (day before, per media log ~9/30-10/1) vLH78/vLH103 virus titer test imaging (nucGEM, various volumes 1-10uL) on Plate A; 10/1 24h drug treatment (2.5mM/0.15mM glucose, 1h/24h) then RNA collection with Trizol at 5:20pm, frozen -80C; 10/1 Plate B virus expression check on old spinning disk confocal (100uL media collected from A1/A2 pre-collection)",Coating was old/dried out causing bad plating (esp. A1/D1 area); batch had more non-MN cells with clusters showing non-MNs beneath; virus titer comparison of vLH78 (2uL/10uL) and vLH103 (1uL/5uL) nucGEM density
"20250916EB_MN (vLH51, vLH103, virus titer test)",2025-09-16 - 2025-10-09,etr_XQBNYnWXc8,"WT11, vLH51, vLH103, vLH80, vLH67","9/16 T2 start; 9/18 T2->T3; 9/20 T3->T4; 9/22 T4->T5; 9/24 T5->T6; 9/26 T6->T6; 9/27 T6->T6 (delayed, author had COVID); 9/30 T6->T7; 10/1 T7->T7; 10/3 T7->BPT8; 10/4 1/2T8->1/2T8; 10/7 1/2T8->1/2T8","10/1 vLH51 nucGEM imaging (60x,1.5x zoom, GEM movie); 10/3 vLH103 imaging (60x, 2.5mM/0.15mM glucose, 1h/24h) plus virus titer test comparing vLH80/vLH67/vLH103 volumes (1uL vs 5uL); 10/7-10/8 vLH51/vLH103 timed glucose treatment imaging (1h, 24h); 10/9 vLH80/vLH67 titer imaging (2uL vs 5uL)","Batch grown on matrigel with Corning DMEM; author had COVID, dissociation delayed a day; vLH67 titer too high (too many GEMs even in neurites), recommend less virus next time"
"20250922EB_MN (seahorse, vLH103, vLH78)",2025-09-22 - 2025-10-15,etr_ADIjrwnCZ1,"WT11 P4, vLH103, vLH78",9/22 T2 start; 9/24 T2->T3; 9/26 T3->T4; 9/29 T4->T5; 10/1 T5->T6; 10/3 T6->T6; 10/6 T6->T7; 10/7 T7->T7 (Plate B with virus)/(Plate A no virus); 10/8 T7->T8; 10/9 1/2T8->1/2T8; 10/11 1/2T8->1/2T8; 10/13 1/2T8->1/2T8,"10/13-10/14 Seahorse Mito Stress assay Plate A (oligomycin/FCCP/Rot-AA/2DG, 2.5mM vs 0.15mM glucose, ~20-24h treatment) plus cell counting via total protein for normalization; 10/13-10/14 vLH103/vLH78 nucGEM imaging Plate B (100x, SirDNA counterstain, 1h and 24h glucose timepoints)",This batch had dissociation issues despite iPSCs not grown on old matrigel
"20250929EB_MN (vLH103,51)",2025-09-29 - 2025-10-24,etr_BXCTEn3XZ3,"WT11 P6, vLH103, vLH51",9/29 T2 start; 10/1 T2->T3; 10/3 T3->T4; 10/6 T4->T5; 10/8 T5->T6; 10/10 T6->T6; 10/13 T6->T7; 10/14 T7->T7 (if virus added); 10/16 T7->T8; 10/17 1/2T8->T8; 10/20 1/2T8->1/2T8; 10/22 1/2T8->1/2T8,"10/8 dissociation method comparison (accutase vs 0.05% trypsin vs 0.025% trypsin); 10/23-10/24 vLH103/vLH51 nucGEM imaging (100x, 1.5x zoom, 2.5mM/0.15mM glucose, 1h/24h) plus glucose concentration assay from collected media",Tried 3 dissociation methods to optimize protocol; some 2.5mM 1h cells looked unhealthy (images skipped for that condition); vLH103 needed less virus next time (too dense GEMs)
20251006EB_MN (vLH51),2025-10-06 - 2025-10-31,etr_HJQIWzhXsn,"WT11 P8, vLH51",10/6 T2 start; 10/8 T2->T3; 10/10 T3->T4; 10/13 T4->T5; 10/15 T5->T6; 10/17 T6->T6; 10/20 T6->T7; 10/21 T7->T7; 10/23 T7->T8 (BPT8); 10/24 1/2T8->1/2T8; 10/27 1/2T8->1/2T8; 10/29 1/2T8->1/2T8; 10/30 1/2T8->1/2 (A3/B3),"10/30-10/31 vLH51 nucGEM imaging on old spinning disk confocal (60x, 1.5x zoom; 2.5mM/0.15mM glucose, 1h and 24h timepoints)","Accidental centrifuge at 200xg without filtering during dissociation; not many GEM+ cells, many with too many GEMs, hard to find GEMs in neurites; 24h movies had larger-than-intended ROI due to old scope default settings"
20251013EB_MN (vLH78),2025-10-13 - 2025-11-07,etr_edC6Nsj3LY,"WT11 P9, vLH78","10/13 T2 start; 10/15 T2->T3; 10/17 T3->T4; test Mazzoni protocol split at D8/D9; 10/20-10/22 T5->T6 (2/3) / Mazzoni dissociation for 1/3; 10/24 T6->T7 (main plate, Mazzoni portion); 10/27 T7->T7(if virus)/T8; 10/28-29 1/2T8->1/2T8 (x2)","11/3-11/6 vLH78 nucGEM imaging (switched from 60x to 100x oil objective mid-experiment for better visualization; 2.5mM/0.15mM glucose, 1h and 24h timepoints)","Parallel test of standard protocol vs Mazzoni-lab MN differentiation protocol (dual-SMAD inhibition, RA/SAG); lots of debris noted during imaging; switched objective mid-batch (recommend 100x going forward)"
"20251020EB_MN (seahorse, vLH51, vLH103)",2025-10-20 - 2025-11-14,etr_HGEh5VBZWS,"WT11, vLH51, vLH103",10/20 T2 start; 10/22 T2->T3; 10/24 T3->T4; 10/27 T4->T5; 10/29 T5->T6; 10/31 T6->T6; 11/3 T6->T7; 11/4 T7->T7(if virus); 11/5 T7->T8; 11/6 1/2T8->1/2T8; 11/7 1/2T8->1/2T8; 11/10 1/2T8->1/2T8,"11/10-11/12 Seahorse Mito Stress assay Plate A (oligomycin/FCCP/Rot-AA/2DG, 2mM glutamine, 2.5mM/0.15mM glucose, 24h treatment) with total-protein cell count normalization; 11/12 vLH51/vLH103 nucGEM imaging Plate B (100x, SirDNA counterstain, 1h glucose timepoints)",Cells did not look well/some cell death noted in seahorse wells at both glucose concentrations for 24h treatment; vLH103 GEM density noted as great this run
"20251029EB_MN (seahorse, MitoSox, vLH78, vLH80)",2025-10-29 - 2025-11-21,etr_qpKP47ZasO,"WT11 P2, vLH78, vLH80",10/29 T2 start; 10/31 T2->T3; 11/2 T3->T4 (+4mL T4); 11/4 T4->T5; 11/5 T5->T6; 11/7 T6->T7; 11/10 T7->T7(if virus)/T8; 11/11 1/2T8->1/2T8; 11/13 1/2T8->1/2T8; 11/17 1/2T8->1/2T8,"11/17-11/18 MitoSOX red + Hoechst live imaging Plate B (2.5mM/0.15mM glucose, 1h and 24h) on new spinning disk confocal; 11/19-11/21 Seahorse Mito Stress + Glycolysis Rate assays Plate A (performed at Pacold lab; oligomycin/FCCP/Rot-AA/2DG, 2mM glutamine, +/- HEPES); 11/20-11/21 vLH78/vLH80 nucGEM imaging Plate B (100x, 2.5mM/0.15mM glucose, 1h/24h)",Seahorse assay run off-site in Pacold lab; some cells died/flushed/not attached during seahorse plate prep; observation that vLH80 nuclei looked bigger/rounder than vLH78
"20251103EB_MN (seahorse, RNA)",2025-11-03 - 2025-12-24,etr_6YvfSLbTKF,WT11,11/3 T2 start; 11/5 T2->T3; 11/7 T3->T4; 11/10 T4->T5; 11/12 T5->T6; 11/14 T6->T6; 11/17 T6->T7; 11/18 T7->T7(if virus)/T8; 11/19 1/2T8->1/2T8; 11/20 1/2T8->1/2T8; 11/21 1/2T8->1/2T8,"11/26 Seahorse Mito Stress assay Plate A (oligomycin/FCCP/Rot-AA, 2.5mM/0.15mM glucose +/- 1mM pyruvate, 2mM glutamine) plus genomic DNA extraction for normalization; 12/24 (per notebook date though timeline suggests ~11/26 same-day) Plate B RNA extraction with Trizol (24h treatment then collection), RT and qPCR (linked sub-entry)",Cells attached a bit weird for some seahorse conditions; RNA extraction/RT/qPCR continued in a linked Benchling sub-entry (etr-GBT2cZpFYDohY81g7XgV)
"20251110EB_MN (vLH78, 51, mitoSOX)",2025-11-10 - 2025-12-04,etr_nTRvRrfY5W,"WT11, vLH51, vLH78",11/10 T2 start; 11/12 T2->T3; 11/14 T3->T4; 11/17 T4->T5; 11/19 T5->T6; 11/21 T6->T6; 11/24 T6->T7; 11/25 T7->T7(if virus)/T8; 11/26 1/2T8->1/2T8; 11/27 1/2T8->1/2T8; 11/28 1/2T8->1/2T8,"12/1-12/4 vLH51/vLH78 nucGEM imaging (100x, 2.5mM/0.15mM glucose, 1h and 24h timepoints) plus MitoSOX red live imaging (500nM, 2.5mM/0.15mM glucose, 1h) with soma/neurite z-stacks",No cell line label mismatches noted; standard batch for combined GEM + mitoSOX ROS imaging comparison
"20251119EB_MN (NCT, IF)",2025-11-19 - 2025-12-19,etr_o7OvZHIz4Z,"WT11 P6, reporter 110, reporter 111",11/19 T2 start; 11/21 T2->T3; +4mL T4; 11/23 T4->T5; 11/25 T5->T6; 11/26 T6->T6; 11/28 T6->T7; 12/1 T7->T7; 12/3 T7->T8; 12/4 1/2T8->1/2T8; 12/6 1/2T8->1/2T8; 12/8 1/2T8->1/2T8; 12/10 1/2T8->1/2T8,"12/14-12/16 NCT (nucleocytoplasmic transport) live imaging of reporters 110 and 111 under continuous/recurrent/constant/no-change glucose-shift protocols (1h/9h/24h glucose timepoints, +/- pyruvate); 12/16-12/19 IF staining and imaging for RANGAP1, Ran, TDP43, Importin-b1 with TDP43-Halo and DAPI (60x, z-stack)","B6/D6 wells didn't look well after fixation (neurites broke); antibody pipetting mistake in D5 required re-staining, causing some cell detachment; many wells had cell detachment/death by IF imaging stage, limiting usable fields (esp. D3, D4, A6 excluded)"
"20260126EB_MN (NCT, 80, IF)",2026-01-26 - 2026-03-06,etr_euGEUCwgBh,"WT11, vLH80, reporter 110, reporter 111",1/26 T2 start (Plate I ReleSR / Plate II accutase split); 1/27 T2->T3; 1/28 T3->T4; 1/30 T4->T5; 2/2 T5->T6; 2/4 T6->T6; 2/6 T6->T6; 2/9 T6->T7; 2/10 T7->T7 (virus added: 110/111/vLH80); 2/12 T7->T8; 2/13 1/2T8->1/2T8; 2/14 1/2T8->1/2T8,"2/19-2/20 vLH80 nucGEM imaging with SirDNA/SPY595 counterstain, recurrent-hypoglycemia protocol; 2/20-2/21 NCT live imaging of reporters 110/111 (continuous/recurrent/constant/no-change glucose shift, 1h/9h/24h, +/-Verdinexor); 2/21-2/22 TDP43-Halo imaging with JFX650 (+/- Verdinexor 150nM); 2/22-2/24 RNA extraction (Trizol vs Zymo DNA/RNA Shield comparison) and IF staining/imaging for RANGAP1, Ran, TDP43, Importin-b1, plus MN-identity markers (MNX1/HB9, Phox2b, Olig2, MAP2, VAChT, TUBB3/TUJ1) on old spinning disk confocal","Compared ReleSR vs accutase splitting for iPSCs (Plate I fewer/bigger clusters, Plate II more/smaller clusters); TDP43 signal on 2/21 judged not reliable, likely SPY595 bleedthrough, excluded from further analysis; Zymo DNA/RNA Shield RNA extraction trial had major bubble issues reducing yield; PFS focus-stabilization failed on new scope during IF imaging, switched to old scope"
"20260202EB_MN (TDP43, NCT, IF, Hylight)",2026-02-02 - 2026-03-06,etr_y6smk8BLvi,"WT11 P5, reporter 110, reporter 111, vLH180, vLH181",2/2 T2 start (Plate A accutase / Plate B ReleSR split); 2/4 T2->T3; 2/6 T3->T4; 2/9 T4->T5; 2/11 T5->T6; 2/13 T6->T6; 2/16 T6->T7; 2/17 T7->T7(if virus)/T8; 2/18 1/2T8->1/2T8; 2/19 1/2T8->1/2T8,"2/25-2/27 Hylight (vLH180/vLH181) live imaging with Rot/AA and 2DG metabolic stress treatment; 2/25-2/27 TDP43-Halo imaging with JFX650 (+/- Leptomycin B/LMB); 2/26-2/27 NCT imaging of reporters 110/111 (continuous/recurrent/constant glucose shift, 1h/9h/24h) with SirDNA; 2/27-3/6 IF staining/imaging for RANGAP1, Ran, TDP43, Importin-b1, gamma-H2A.X, with MMS (DNA damage) dose-response (0, 0.5, 2, 5mM)","Hylight vLH180 optimal at 1.5uL (some debris, diffused signal visible), vLH181 mostly poor signal except D3; first use of SPY505 dye for baseline imaging worked well; MMS DNA-damage IF added to assess genotoxic stress response"
"20250217EB_MN (TDP43, ATP, IF, RNA, Hylight test)",2026-02-17 - 2026-04-08,etr_ehWBL4rlIi,WT11,2/17 T2 start; T2->T3; T3->T4; T4->T5; T5->T6; T6->T6 (over-weekend); T6->T7 (virus dependent); T7->T7/T7->T8; T8->1/2T8 (x3),"TDP43 imaging with hypoglycemia+LMB (glucose titration, JFX650/SPY505) ~3/11-3/12; ATP/ADP ratio imaging with glucose titration 3/13 (fileID vLH92); IF (TDP43, Importin-b1, RANGAP1, Ran, HNRNPA2B1) 3/19-3/20 (8-well chamber and 24-well); RNA collected 24h (3/12)","Dish A and B biological replicates; TDP43/N-C ratio hypoglycemia experiment repeated after weird prior results; most 8-well chamber wells detached with heavy bacterial contamination at IF imaging step - did not image chamber slide, only imaged 24-well plate (still had contamination but usable)"
"20250224EB_MN (NCT, ATP, TDP43, IF, RNA)",2026-02-24 - 2026-04-08,etr_Op247TgO9Q,"WT11, vLH92, vLH110, vLH111",T2 start; T2->T3; T3->T4; T4->T5; T5->T6; T6->T6 (over-weekend); T6->T7; T7->T8; T8->1/2T8 (x2),"NCT imaging (1h/24h, vLH110/111) 3/17-3/18; RNA with Recurrent Low Glucose (RLG) protocol D1-D3 treatments 3/18-3/21, RNA collected 3/21; TDP43 imaging (9h recurrent hypoglycemia, SPY505/JFX650) 3/20; ATP/ADP imaging (pyruvate/no-pyruvate/0mM glucose) 3/21; TDP43 IF after ATP imaging 3/21 (fixed ~19:00); IF imaging (TDP-43, Importin-b1, RANGAP1, Ran, HNRNPA2B1) 3/24-3/25","Most 8-well chamber wells detached with heavy bacterial contamination - only imaged 24-well plate TDP43 staining (B4-6), still contaminated but usable"
"20250302EB_MN (NCT, RNA)",2026-03-02 - 2026-03-27,etr_3xr0YtmR3i,"WT11 (P2), vLH110, vLH111, vLH185",3/2 T2 start; T2->T3; T3->T4 (over-weekend); T4->T5; T5->T6; T6->T6 (over-weekend); T6->T7; T7->T8; T8->1/2T8 (x2),"NCT imaging (1h/24h, reporters 110/111/185) batch A 3/25, batch B 3/27; RNA extraction (Trizol) 3/27 18:40-19:40",Cells on glass-bottom plate grew poorly (excess virus suspected); P2 iPSC-derived MNs attached poorly three times -> recommend avoiding P2 iPSCs going forward; NCT timing error (15min instead of 30min interval); -80 freezer down so RNA stored in -20
"20250309EB_MN (ATP, RNA)",2026-03-09 - 2026-04-03,etr_dhvVrKcnxe,"WT11 (batch A: P3/YST0004 slow-growing; batch B: P2/YST0005 newly thawed), vLH92, vLH105, vLH185",3/9 T2 start; T2->T3; T3->T4 (over-weekend); T4->T5; T5->T6; T6->T6 (over-weekend); T6->T7; T7->T8; T8->1/2T8 (x3),"ATP/ADP imaging with/without pyruvate (glucose titration, +neurite images) Plate II 4/1; reporter expression check (vLH105/vLH185) 4/2; RNA extraction (1h/24h, no pyruvate) 4/2 13:00-14:00; ATP/ADP imaging Plate I with pyruvate/no-pyruvate/10mM lactate (+neurite) 4/3",Batch A did not grow in every well (a lot of debris); vLH185 signal generally poor/bad with tested laser settings; some wells showed unhealthy cells/beading neurites at 24h without pyruvate
"20250323EB_MN (NCT, ATP)",2026-03-23 - 2026-04-16,etr_U4QVoDBtcD,"WT11 (P6), vLH92, vLH105, vLH110, vLH111",3/23 T2 start; T2->T3; T3->T4 (over-weekend); T4->T5; T5->T6; T6->T6 (over-weekend); T6->T7; T7->T8; T8->1/2T8 (x2),"NCT imaging with MMS titration (0/0.5/1/3mM, reporters 110/111) 4/18; ATP/ADP (Perceval) imaging with MMS titration 4/16; ATP/ADP imaging with 2DG titration and pyruvate/lactate conditions (pHred) 4/16","110/111 cells seemed stressed at T7->T8 transition, possibly due to higher late-aliquot virus titer; pHred signal interpretation uncertain (560 channel associated with 488 but not always)"
20250330 & 20250401EB_MN,2026-03-30 - 2026-04-24,etr_lECcGmE0Jv,"WT11 (P8), JiPSC1000, JiPSC1066, JiPSC1108, vLH185, vLH187","3/30 T2 start (WT11 + JiPSC lines staggered); T2->T3; T3->T4; T4->add 4mL T4 (JiPSC)/T5 (WT11); T5->T6 (WT11)/T4->T5 (JiPSC); T6->T6 (WT11, over-weekend)/T5->T6 (JiPSC); T6->T7; T7->T8; T8->1/2T8 (x3)","Virus test well check (vLH185/187) 4/22; IF (glucose/pyruvate titration, TDP-43 then TUBB3) treat 4/23, fix/stain 4/23-4/24, imaging 4/24",iPSC1000 and iPSC1108 grew/attached very poorly; new trypsin lot over-digested cells; found virus batch made cells unhealthy - decided to discard that virus prep; difficulty defining cytoplasmic segmentation for iPSC1066 line
20250406EB_MN (IF),2026-04-06 - 2026-05-25,etr_NO8IheshRG,"WT11 (P10), JiPSC1000, JiPSC1066, JiPSC1108",4/6 T2 start; T2->T3; T3->T4 (over-weekend); T4->T5; T5->T6; T6->T6 (over-weekend); T6->T7; T7->T8; T8->1/2T8 (x3),"IF: MMS titration (0-3mM) and glucose titration (20mM down to 0mM) treat/fix ~4/21-4/24; HEK-cell arsenite positive-control test for stress granules; IF imaging (H2AX, G3BP2, TIA1 backup) 5/20-5/25",1000 and 1108 lines again attached very badly (same issue as 20260401 batch); no clear stress granule formation observed in MNs by G3BP2/H2AX; some non-MN contamination noted in imaged fields
"20250413EB_MN (NCT, ATP)",2026-04-13 - 2026-05-09,etr_CovV0f5zZH,"WT11 (P12), vLH92, vLH105, vLH110, vLH111, vLH185",4/13 T2 start; T2->T3; T3->T4 (over-weekend); T4->T5; T5->T6; T6->T6 (over-weekend); T6->T7; T7->BP T8; BP T8->1/2 BP T8 (x3),NCT & ATP/ADP imaging with MMS titration 5/6-5/8; ATP/ADP imaging with glucose titration + pyruvate 5/7-5/8; NCT/ATP glucose titration with pH correction/NH4Cl calibration experiment 5/8-5/9; non-classical import rate imaging 5/8-5/9; NCT with vLH185 glucose titration 5/9,"Cells with MMS from prior day died (A1 also died despite no MMS, suspected SirDNA toxicity); water bath found dried out at unknown time during an experiment"
20250415EB_MN (RNA),2026-04-15 - 2026-05-13,etr_CGC6hPAJ65,"iPSC1000, iPSC1066, iPSC1108",4/15 T2 start; T2->T3; T3->T4 (over-weekend); T4->T5; T5->T6; T6->T6 (over-weekend); T6->T7; T7->T8; T8->1/2T8 (x5),"RNA extraction after 1h MMS treatment (0mM vs 1.5mM) 5/13, treated 21:45-50, collected 22:45-50 (Trizol)",MMS may have partially hydrolyzed since media was prepared around noon before evening treatment
"20250420EB_MN (NCT, RNA)",2026-04-20 - 2026-05-15,etr_TeuWCNpExG,"WT11 (P13), iPSC1000, iPSC1066, iPSC1108, vLH110, vLH111",4/20 T2 start; T2->T3; T3->T4 (over-weekend); T4->T5; T5->T6; T6->T6 (over-weekend); T6->T7; T7->T8; T8->1/2T8 (x2),"NCT imaging with MMS titration (0-2.5mM) 5/13, recovery observations through 5/14; NCT with MMS+PARP1 inhibitor (olaparib) 5/14-5/15, recovery imaging/timelapse (PI viability) 5/15-5/16; RNA extraction (MMS 0mM vs 1.5mM +/- olaparib) 5/15",Import reporter (NCT) found more sensitive to MMS toxicity than export reporter; MMS suspected to hydrolyze in aqueous solution reducing potency; most cells died at higher MMS concentrations (>=1mM) with poor recovery
"20250519EB_MN (NCT, ATP, 51)",2026-05-19 - 2026-06-15,etr_1PeJi6i210,"WT11 (P2, batches A/B), vLH51, vLH92, vLH105, vLH110, vLH111",5/19 T2 start; T2->T3; T3->T4 (over-weekend); T4->T5; T5->T6; T6->T6 (over-weekend); T6->T6 (10mL); T6->T7; T7->T8; T8->1/2T8 (x2),"vLH51 cytoGEM imaging in neurites/soma with glucose titration + Halo dye titration (1/6/10nM) and TDP43 movie 6/13-6/14; NCT imaging with MMS titration (0-1.5mM) +/- olaparib, Plate I/II batch A&B 6/13-6/15; ATP/ADP (Perceval) imaging with MMS titration +/- olaparib 6/13-6/15; PI viability imaging Plate II 6/15","Cells looked sick/many dead in general during this batch's MMS experiments, especially at higher MMS concentrations; 1nM Halo dye insufficient to see TDP43 granules, 6nM needed"
20250525EB_MN (contaminated),2026-05-26 - 2026-06-11,etr_J3xgj1sguV,WT11,5/26 T2 start; T2->T3; T3->T4 (over-weekend); T4->T5; T5->T6; T6->T6 (over-weekend); T6->T7 (batch discarded before further use),"Contamination source-tracing test: cultured PBS, T2, T3, T5, T6, BPT8 media with U2OS cells/empty plates/LB broth 6/9-6/11",Batch discarded - contamination. Plates I-IV and newly started 20260608EB_MN batch and PLO-coated spheres all contaminated; PBS identified as the likely contamination source (grew bacteria in isolation test); Matrigel-coated spheres were clear
"20250602EB_MN (NCT, ATP, IF)",2026-06-02 - 2026-07-03,etr_BQrgn8A2dD,"WT11 (P17, batches A/B), vLH51, vLH92, vLH110, vLH111",6/2 T2 start; T2->T3; T3->T4 (+3mL T4); T4->T5; T5-> ; T6->T6 (over-weekend); T6->T7; T7->T8; T8->1/2T8 (x2),"ATP/ADP (Perceval) imaging with MMS titration +/- olaparib, batch A 6/24-6/25, batch B 6/25-6/26; NCT imaging with MMS titration +/- olaparib 6/26-6/27; vLH51 cytoGEM imaging with glucose titration +/- FCCP/2DG 6/27; NCT with glucose titration (with pyruvate) + FCCP/2DG condition 6/27; IF (RANGAP1, Importin-b1) hypoglycemia treatment, RNA (MMS titration) collected 6/30, IF imaging 7/1-7/3",Batch B cells looked notably healthier/better than batch A in MMS imaging session
"20250617EB_MN (Glo, ATP, NCT, IF)",2026-06-17 - 2026-07-20,etr_0IIaj0G93t,"WT11 (P19, batches A/B), vLH92, vLH110, vLH111",6/17 T2 start; T2->T3; T3->T4 (over-weekend); T4->T5; T5->T6 (over-weekend); T6->T6; T6->T7; T7->BP T8; BP T8->1/2 (x2),"CellTiter-Glo ATP viability assay (glucose/pyruvate titration, MMS titration, FCCP/2DG) 7/7-7/8; NCT imaging with MMS titration +/- DMSO/olaparib, batch A & B 7/8-7/9; ATP/ADP (Perceval) imaging with MMS +/- DMSO/olaparib, comparing old vs fresh MMS aliquot 7/9-7/10 (batch B media found contaminated); IF (RanGAP1, Ran, SOD1, Importin-b1, TDP43-Halo) glucose titration + MMS titration, imaged 7/20","Treating media for batch B was found contaminated with rod-shaped bacteria during a Perceval session; suspected degraded/old MMS aliquot caused inconsistent import-rate effects, compared old vs new aliquot"
"20250629EB_MN (ATP, NCT, Protein, IF)",2026-06-29 - 2026-08-28,etr_evyj5c7qkv,"WT11 (P19, batches A/B), vLH92, vLH110, vLH111, vLH185",6/29 T2 start; T2->T3; T3->T4 (over-weekend); T4->T5; T5->T6; T6->T6 (over-weekend); T6; T6->T7; T7->T8; T8->1/2T8 (x3),"NCT imaging with 2mM MMS +/- DMSO/olaparib 7/22-7/23; ATP/ADP (Perceval) imaging with MMS titration (0-5mM) +/- DMSO/olaparib, comparison and kinetics timecourse 7/23-7/27; NCT/ATP hypoglycemia (glucose titration, 110/185 reporters) 7/27-7/29; Protein extraction (RIPA lysate, glucose conditions) 8/27; IF (G3BP1, TIA1 stress granule markers, MMS titration) 7/30-8/28","Notebook flags 'This batch has A LOT of non-MNs'; 2mM MMS inconsistently affected NCT import rate across repeats (once no effect, later normal effect - possible MMS aliquot/degradation issue as in prior batch); found detachment method during protein harvest may preferentially remove non-MN cells; IF conditions for stress-granule (G3BP1/TIA1) experiment were not fully recorded/had to be inferred from phenotype (likely control vs 3-5mM MMS)"
20260831EB_MN,2026-08-31 - 2026-09-23,etr_NsJ8cDV8PV,WT11,8/31 T2 start; T2->T3; T3->T4 (over-weekend); T4->T5; T5->T6; T6->T6 (over-weekend); T6->T7; T7->T8; T8->1/2T8 (x3),"No experiments recorded yet - entry ends after dissociation/plating and media changes (in progress, only 2 pages)","Entry appears incomplete/still in progress as of export; only standard EB_MN differentiation and passaging steps logged, no downstream assays yet"
